dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Shuffled,6.0,[ 5  9 13],"[0.4343123370777149, 0.7272659729901413, 0.9363779322832548]",[0.43903874 0.70709674 0.95271922],$\phi$,dfa (short)
Trace,19.0,[ 5  9 13 17],"[0.42019556715137796, 0.614437577709337, 0.7639687064234231, 0.8574023318061552]",[0.42608656 0.60305841 0.74944498 0.87819809],$\phi$,dfa (short)
Shuffled,19.0,[ 5  9 13 17],"[0.49668180793592875, 0.671811462395071, 0.7585196768450441, 0.8342954644878483]",[0.50588885 0.64870707 0.75789733 0.8489816 ],$\phi$,dfa (short)
Trace,20.0,[ 5  9 13],"[0.47738277068072354, 0.6132608363359603, 0.6657232253665746]",[0.48293886 0.59509595 0.6781512 ],$\phi$,dfa (short)
Shuffled,20.0,[ 5  9 13],"[0.48598341052374194, 0.5358352455040107, 0.6028785561737422]",[0.48172151 0.54824081 0.59444976],$\phi$,dfa (short)
Trace,23.0,[ 5  9 13 17 21],"[0.5365294421811119, 0.7503398460288071, 0.9142379820156052, 1.0500275964666939, 1.1479498594114481]",[0.54239197 0.74260718 0.90390119 1.04326451 1.16801033],$\phi$,dfa (short)
Shuffled,23.0,[ 5  9 13 17 21],"[0.4649934435835386, 0.5982086704840415, 0.6807135543135787, 0.7421786322834596, 0.7973172249892856]",[0.47141104 0.58729014 0.6738589  0.74496076 0.80621097],$\phi$,dfa (short)
Trace,24.0,[ 5  9 13 17 21],"[0.5008586020580613, 0.7173661954066949, 0.8954220115006056, 0.9708471009001263, 1.0065891684863515]",[0.52020892 0.6988582  0.84061905 0.96186573 1.06956297],$\phi$,dfa (short)
Shuffled,24.0,[ 5  9 13 17 21],"[0.49906395384826613, 0.7550861079603007, 0.916427807859608, 0.9931739790386452, 1.0337717367727666]",[0.52686911 0.7134335  0.86241328 0.99037673 1.10440618],$\phi$,dfa (short)
Trace,41.0,[ 5  9 13 17 21],"[0.4766052550930445, 0.6277684758962238, 0.6873577412747416, 0.7645548627619095, 0.834973701641781]",[0.48435606 0.60536269 0.69599558 0.77056439 0.83488528],$\phi$,dfa (short)
Shuffled,41.0,[ 5  9 13 17 21],"[0.4553528391003062, 0.636757737059089, 0.7779719430718804, 0.8423707791290624, 0.9190724382814114]",[0.46691218 0.62310344 0.74638791 0.85145659 0.94453223],$\phi$,dfa (short)
