dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Shuffled,26.0,[ 5  9 13 17 21 25 29],"[0.44606211909526755, 0.7217940653699413, 0.9023426050970275, 1.0323560175136328, 1.1224344672574433, 1.1606448981187096, 1.1804809082491539]","[0.49114564 0.68070901 0.83491519 0.96902988 1.08967422 1.20044954
 1.303578  ]",$r$,dfa (short)
Trace,27.0,[ 5  9 13 17 21 25],"[0.5775113072064763, 0.7362310830500499, 0.7842644271661299, 0.7971907401652972, 0.8050142676953824, 0.7993084832049503]",[0.61596715 0.69135339 0.74313846 0.78334783 0.8165464  0.84499571],$r$,dfa (short)
Shuffled,27.0,[ 5  9 13 17 21 25],"[0.5139457250269538, 0.6742421137055851, 0.8707177318305338, 1.0338725425222406, 1.0945344795251146, 1.121077652739622]",[0.51588318 0.69952934 0.84634145 0.97253711 1.08505474 1.18763209],$r$,dfa (short)
Trace,28.0,[ 5  9 13 17],"[0.5651074276055496, 0.7036833909403735, 0.7555726727763636, 0.8232112232265567]",[0.57241395 0.68344496 0.76360943 0.82796275],$r$,dfa (short)
Shuffled,28.0,[ 5  9 13 17],"[0.5219455069930363, 0.7996147126886319, 0.9299474600604116, 0.9443332022346762]",[0.54946224 0.73843529 0.8884332  1.01675083],$r$,dfa (short)
Trace,29.0,[ 5  9 13 17 21],"[0.5027362903540334, 0.5676725558140909, 0.6084704375521736, 0.6427274176387384, 0.6533979652603663]",[0.50579765 0.56487776 0.60529872 0.63659997 0.66239122],$r$,dfa (short)
Shuffled,29.0,[ 5  9 13 17 21],"[0.48750733180079814, 0.700385868003425, 0.8186644064367027, 0.9068733371290462, 0.970575022526102]",[0.5049218  0.66926782 0.79828761 0.90784422 1.00462827],$r$,dfa (short)
Trace,30.0,[ 5  9 13 17 21 25],"[0.5418932694034626, 0.7726229920944796, 0.8861829871772713, 0.9660168172440011, 1.0073917469431914, 1.0309544194088027]",[0.57675098 0.7288262  0.84373908 0.93884597 1.02125058 1.09466237],$r$,dfa (short)
Shuffled,30.0,[ 5  9 13 17 21 25],"[0.4563701116038873, 0.7125504247971499, 0.8712781331826074, 1.0155524399666387, 1.1052039136007674, 1.1711479256484612]",[0.48049194 0.6783718  0.84172959 0.98521832 1.11526722 1.23540179],$r$,dfa (short)
Trace,1.0,[ 5  9 13 17 21 25 29],"[0.47297732720685054, 0.7325736115316888, 0.8596249802424342, 0.9736087272684967, 1.0369066458757854, 1.0441694137145756, 1.040070857488825]","[0.52367785 0.68238485 0.80529064 0.9087039  0.99942988 1.08107072
 1.15580233]",$\phi$,dfa (short)
Shuffled,1.0,[ 5  9 13 17 21 25 29],"[0.4839477921178347, 0.7196536220566044, 0.8031158631262187, 0.8803299804712097, 0.9401334795524884, 0.9636413058806477, 0.9727115628955487]","[0.5284425  0.6638036  0.76559857 0.84957849 0.92216582 0.98670541
 1.04519238]",$\phi$,dfa (short)
Trace,2.0,[ 5  9 13 17 21 25 29],"[0.5000164041300645, 0.7187773098480654, 0.835335612703404, 0.9400396753303104, 0.9970433442531752, 1.0346633714825866, 1.058478977239345]","[0.533886   0.68533224 0.80121696 0.89794053 0.98228217 1.05780651
 1.12665576]",$\phi$,dfa (short)
Shuffled,2.0,[ 5  9 13 17 21 25 29],"[0.48690908610328665, 0.7463503166175414, 0.8512207565379859, 0.9328086872825473, 1.0098005993144938, 1.109710422813971, 1.2326820920846895]","[0.51603279 0.68839233 0.82439714 0.94028287 1.04292491 1.13600043
 1.22174873]",$\phi$,dfa (short)
Trace,3.0,[ 5  9 13 17 21 25 29],"[0.5410737657946518, 0.7217211835687284, 0.8117912890575447, 0.9193870505315567, 1.0073788405127075, 1.0941035928648304, 1.1862843127661935]","[0.54435118 0.70292807 0.82484691 0.92693201 1.01616385 1.09622258
 1.16932433]",$\phi$,dfa (short)
Shuffled,3.0,[ 5  9 13 17 21 25 29],"[0.4303149787094216, 0.7315576808865468, 0.9371592916532316, 0.9832448294725618, 1.0381483240546734, 1.0789505981467973, 1.1171268966711616]","[0.49340461 0.66956227 0.81047405 0.93164779 1.03972147 1.13827219
 1.22949116]",$\phi$,dfa (short)
Trace,4.0,[ 5  9 13 17 21 25],"[0.500111793576068, 0.768588985454945, 0.8613349864099044, 0.9685191311736564, 1.0529654431059312, 1.0715539029073495]",[0.53587753 0.70603042 0.83896731 0.95148545 1.05064273 1.14019328],$\phi$,dfa (short)
Shuffled,4.0,[ 5  9 13 17 21 25],"[0.48213518781897746, 0.7089297544871246, 0.8747526671253589, 0.9892766247240107, 1.0458004486429993, 1.0772788760610559]",[0.50832968 0.68580351 0.82710916 0.94824197 1.0560236  1.15412067],$\phi$,dfa (short)
Trace,5.0,[ 5  9 13 17 21 25],"[0.47360020793468305, 0.8083816687097144, 0.9785721731166357, 1.0999722783348247, 1.2022513703127449, 1.258535454911545]",[0.51782825 0.73600753 0.91708716 1.07671515 1.22178607 1.35609176],$\phi$,dfa (short)
Shuffled,5.0,[ 5  9 13 17 21 25],"[0.5123527481823981, 0.7587049398085628, 0.9204748340795391, 1.022318111970696, 1.1148194311821975, 1.1905402015773765]",[0.53627819 0.72755956 0.88053835 1.01207107 1.12937183 1.23632778],$\phi$,dfa (short)
Trace,6.0,[ 5  9 13 17 21 25],"[0.49913726127401564, 0.6110798715663252, 0.67117526262874, 0.6875318209725735, 0.720103024278739, 0.7559179019589459]",[0.51335402 0.59334522 0.64960943 0.6939934  0.73107923 0.76316679],$\phi$,dfa (short)
Shuffled,6.0,[ 5  9 13 17 21 25],"[0.46340480555443836, 0.6915795378478269, 0.8215895190587847, 0.9364404645819793, 1.060046256492855, 1.1466338436210293]",[0.47786894 0.66220072 0.81213176 0.94251699 1.05979874 1.16748084],$\phi$,dfa (short)
Trace,7.0,[ 5  9 13 17 21 25],"[0.43633647111258594, 0.6116854275321179, 0.7055325637784633, 0.8103457689655847, 0.9214428748212108, 1.0136492186723387]",[0.439627   0.59442931 0.71790164 0.82387282 0.91824871 1.00420682],$\phi$,dfa (short)
Shuffled,7.0,[ 5  9 13 17 21 25],"[0.45739653608211683, 0.7303560452068508, 0.9278916374581718, 1.0206332039706174, 1.0784564745351084, 1.1127159871846242]",[0.49679843 0.68866704 0.84477077 0.98054883 1.10269836 1.21486231],$\phi$,dfa (short)
Trace,8.0,[ 5  9 13 17 21],"[0.4683131045555288, 0.7280923303674455, 0.8274057364077467, 0.8836919596371738, 0.9371347253317405]",[0.50156119 0.66311221 0.78967856 0.89700414 0.99171867],$\phi$,dfa (short)
Shuffled,8.0,[ 5  9 13 17 21],"[0.4917634082241137, 0.6802530409589882, 0.8673811578437705, 1.0481168301939279, 1.184570987172736]",[0.48415166 0.69707684 0.87561686 1.03409725 1.17888082],$\phi$,dfa (short)
Trace,9.0,[ 5  9 13 17 21 25 29],"[0.5063103211261604, 0.6487271589629497, 0.8045979172414987, 0.925969123916181, 0.9734263472686059, 0.9974531788435543, 1.025344204538902]","[0.51860483 0.66407834 0.77517358 0.86777695 0.94844505 1.0206217
 1.08637472]",$\phi$,dfa (short)
Shuffled,9.0,[ 5  9 13 17 21 25 29],"[0.4831827758933471, 0.6848992927027956, 0.795688019937627, 0.8943989207905801, 0.9358526012797149, 0.9555258964388101, 0.9880927387812135]","[0.51697619 0.655058   0.75962308 0.84629145 0.92146709 0.98849805
 1.04938734]",$\phi$,dfa (short)
Trace,10.0,[ 5  9 13 17 21 25 29],"[0.4809058907220112, 0.7562330696309721, 0.8495027781855633, 0.8950238955868703, 0.9488424253178476, 0.9959447824452636, 1.0194872626323268]","[0.53655005 0.67916602 0.78707639 0.87646842 0.95397437 1.02306008
 1.0857983 ]",$\phi$,dfa (short)
Shuffled,10.0,[ 5  9 13 17 21 25 29],"[0.4603244173084192, 0.7378658891383911, 0.8701662038178346, 0.9394582421095018, 1.0069929104011321, 1.0623187801182223, 1.0973477032860568]","[0.51043527 0.67435593 0.80270448 0.91149902 1.00748166 1.0942429
 1.17396198]",$\phi$,dfa (short)
Trace,11.0,[ 5  9 13 17 21 25],"[0.4892406775210887, 0.6495683640251088, 0.7969918260193154, 0.869002527933048, 0.939168221285253, 0.9862361001809574]",[0.49987958 0.64826652 0.7627417  0.85881438 0.94293677 1.01851695],$\phi$,dfa (short)
Shuffled,11.0,[ 5  9 13 17 21 25],"[0.4941482260962854, 0.7344315383476069, 0.9215659296276943, 0.9448049281648979, 0.9602268051908861, 0.9921340566810121]",[0.5401084  0.69516886 0.81407224 0.91345744 1.00021382 1.07796819],$\phi$,dfa (short)
Trace,12.0,[ 5  9 13 17 21 25],"[0.4534634406517126, 0.6146645907683552, 0.7157049366618942, 0.8010356594834518, 0.88463251048266, 0.9420623415522527]",[0.4610994  0.60153451 0.71039048 0.80203893 0.88248113 0.9548953 ],$\phi$,dfa (short)
Shuffled,12.0,[ 5  9 13 17 21 25],"[0.5340522052132122, 0.6984155304827381, 0.8011302645346586, 0.830936617117502, 0.8824754177825663, 0.9394655673373913]",[0.55356765 0.67545734 0.76501086 0.83774667 0.89987724 0.95459667],$\phi$,dfa (short)
Trace,13.0,[ 5  9 13 17 21 25 29],"[0.5048141570388618, 0.6898940083062489, 0.8292442845951148, 0.9526823375081674, 1.0292431030263807, 1.0547748138220574, 1.070400530250068]","[0.52632255 0.68283271 0.80361338 0.90499974 0.99378931 1.0735732
 1.14651738]",$\phi$,dfa (short)
Shuffled,13.0,[ 5  9 13 17 21 25 29],"[0.4981839744533416, 0.724981030171159, 0.8670125881599242, 0.9171113897823008, 0.9805545158214016, 1.0694321284721255, 1.1466336924256908]","[0.52830493 0.68810801 0.81181862 0.91588419 1.00716596 1.08929496
 1.16446427]",$\phi$,dfa (short)
Trace,14.0,[ 5  9 13 17 21 25],"[0.42680892936301507, 0.6357920734971728, 0.7937610479499801, 0.9074861765299939, 0.9951723346985707, 1.0462508561092418]",[0.4441341  0.61871433 0.76131244 0.88567248 0.9977747  1.10087922],$\phi$,dfa (short)
Shuffled,14.0,[ 5  9 13 17 21 25],"[0.4504385512985828, 0.6936855801858405, 0.8432224695275228, 0.9595938138021126, 1.1283773068719722, 1.2917150738079428]",[0.45884402 0.66547446 0.83974265 0.99503631 1.13732874 1.26993438],$\phi$,dfa (short)
Trace,15.0,[ 5  9 13 17 21],"[0.4998643559260724, 0.6743780440018224, 0.7661133318034842, 0.8712379079669211, 0.9476568924815951]",[0.50656171 0.65664099 0.77238071 0.86949152 0.95450759],$\phi$,dfa (short)
Shuffled,15.0,[ 5  9 13 17 21],"[0.5236190053358548, 0.7453328883726135, 0.8718986673554497, 0.9385811481331119, 0.9439221897004985]",[0.55120424 0.70695626 0.82605391 0.92541335 1.01202322],$\phi$,dfa (short)
Trace,16.0,[ 5  9 13 17 21 25 29 33 37],"[0.34562037648427363, 0.5937054920175674, 0.7696387290300026, 0.8617725896394994, 0.9514566826333536, 1.0407494809325752, 1.1068976717614651, 1.182793568459415, 1.2788293829341544]","[0.38740614 0.55608066 0.69717289 0.822208   0.93629526 1.04225683
 1.1418552  1.23628232 1.32639081]",$\phi$,dfa (short)
Shuffled,16.0,[ 5  9 13 17 21 25 29 33 37],"[0.43324551920296234, 0.6595091266318782, 0.8106503800819946, 0.8615324021097193, 0.8948477913571705, 0.9264796311481869, 0.9533596765641584, 0.9816090975547378, 1.0127912205879595]","[0.49545388 0.62307557 0.71913809 0.79843743 0.86701095 0.92800451
 0.98329528 1.03410596 1.08128361]",$\phi$,dfa (short)
Trace,17.0,[ 5  9 13 17 21 25 29 33],"[0.521379452792302, 0.7064052218998575, 0.8338520955603778, 0.9123567909307682, 0.9735416706223085, 1.0071797721050058, 1.0239368013590857, 1.0412051818959533]","[0.55682783 0.69026528 0.78955485 0.87088717 0.94080896 1.00270987
 1.0586025  1.10979242]",$\phi$,dfa (short)
Shuffled,17.0,[ 5  9 13 17 21 25 29 33],"[0.5096557099799282, 0.7261404511598495, 0.8099576607804461, 0.8672557606075972, 0.9553346117719896, 1.0157797133268578, 1.057637793361967, 1.1041363819993848]","[0.54058169 0.68030809 0.78554154 0.87244445 0.94761467 1.01449121
 1.07512667 1.13085824]",$\phi$,dfa (short)
Trace,18.0,[ 5  9 13 17 21 25 29 33],"[0.4613948505616881, 0.604463179272205, 0.6686263510995639, 0.7333536693818684, 0.7817768307249776, 0.8070094553713166, 0.834781025620537, 0.8480982547065534]","[0.48371357 0.5833977  0.65595579 0.71452022 0.76430962 0.80799333
 0.84714132 0.88276408]",$\phi$,dfa (short)
Shuffled,18.0,[ 5  9 13 17 21 25 29 33],"[0.47550950519312446, 0.7190310922470862, 0.8851829154804278, 1.017010692429944, 1.1399636207576345, 1.2352833225805946, 1.2979864624925026, 1.3326666112868237]","[0.50437645 0.69628372 0.85190508 0.98696356 1.10826182 1.21949346
 1.32293448 1.42010714]",$\phi$,dfa (short)
Trace,19.0,[ 5  9 13 17 21 25 29],"[0.4724991817176183, 0.6888771910671719, 0.7758409830281, 0.7954566516324165, 0.8152456121931821, 0.840707291735257, 0.8408084786644442]","[0.52644313 0.63110118 0.70691007 0.76789934 0.81962274 0.86491343
 0.90543423]",$\phi$,dfa (short)
Shuffled,19.0,[ 5  9 13 17 21 25 29],"[0.47436366205286523, 0.6643298058344765, 0.769080483096913, 0.8887688979553131, 0.9547299129532876, 1.0226865990014933, 1.067452077515976]","[0.49095097 0.64357752 0.76234087 0.86259009 0.95075415 1.03024499
 1.10312792]",$\phi$,dfa (short)
