dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,15.0,[ 5  9 13 17 21 25 29 33],"[0.4938240739877864, 0.660117199328126, 0.742663230321218, 0.7723110462721722, 0.7966646451465569, 0.8141508188791069, 0.8273599506092734, 0.8356910382391972]","[0.53770371 0.62750865 0.69116782 0.74164675 0.78399112 0.82074435
 0.85338539 0.8828573 ]",$r$,dfa (short)
Shuffled,15.0,[ 5  9 13 17 21 25 29 33],"[0.48074411810535833, 0.7328811646270861, 0.9253490189910014, 1.1276425447129215, 1.2860059954533285, 1.4135695163973458, 1.4806155489585995, 1.5123873594998989]","[0.50175909 0.72495022 0.91261718 1.07951023 1.23219503 1.37430866
 1.50812765 1.63519442]",$r$,dfa (short)
Trace,16.0,[ 5  9 13 17 21 25 29 33],"[0.4633527850591477, 0.6871131908999815, 0.8188896044100976, 0.9231710252155527, 0.9863076233309648, 1.0490986030972038, 1.1181787555712241, 1.1582194580343799]","[0.49682088 0.65572312 0.78004441 0.88536954 0.97825417 1.06218798
 1.13928831 1.21095334]",$r$,dfa (short)
Shuffled,16.0,[ 5  9 13 17 21 25 29 33],"[0.5083192433549578, 0.7408717140869541, 0.9106502107373394, 1.0487398617300967, 1.1074663217049636, 1.1312195550539088, 1.1663333422333009, 1.1866123752421727]","[0.55525818 0.72243369 0.85173995 0.96044955 1.05576304 1.14148922
 1.21992767 1.29259074]",$r$,dfa (short)
Trace,17.0,[ 5  9 13 17 21 25 29 33],"[0.44339718196829847, 0.6293536426330473, 0.7032750530499183, 0.7245019940687706, 0.7601380404940549, 0.7863633227371101, 0.8027977883127445, 0.827737876312585]","[0.48827057 0.58330465 0.65195003 0.7070727  0.75375462 0.79458423
 0.83107891 0.86421266]",$r$,dfa (short)
Shuffled,17.0,[ 5  9 13 17 21 25 29 33],"[0.5273805639191635, 0.7103485107441903, 0.8462214449983978, 0.9928257187497702, 1.1115580696760963, 1.2064372851357172, 1.306839165250822, 1.3906242422848811]","[0.5245421  0.71115054 0.8603107  0.98851305 1.10281204 1.20700762
 1.30342676 1.39361787]",$r$,dfa (short)
Trace,18.0,[ 5  9 13 17 21 25 29 33],"[0.46392326058930544, 0.6643472105362903, 0.7415673711332161, 0.7772751502760573, 0.8011456051479301, 0.8065486325015109, 0.8126869585760788, 0.8151703992904236]","[0.52247917 0.6147689  0.68062319 0.73307421 0.77722013 0.81564022
 0.84983856 0.88077645]",$r$,dfa (short)
Shuffled,18.0,[ 5  9 13 17 21 25 29 33],"[0.4587212802155481, 0.6837350302089509, 0.8312474334428689, 0.962082296574691, 1.083237341307734, 1.2055648460035446, 1.299080956120716, 1.3833762598238317]","[0.47202333 0.6634104  0.8208411  0.9587892  1.08358739 1.19870134
 1.30627982 1.40776729]",$r$,dfa (short)
Trace,19.0,[ 5  9 13 17 21 25 29 33],"[0.43303885606164516, 0.6724077144428382, 0.7546710609593703, 0.7964212924303115, 0.855639275581644, 0.8826652279677326, 0.8930729149632763, 0.9276336425663835]","[0.48906562 0.60830784 0.69727456 0.77028296 0.83313454 0.88883759
 0.93918035 0.98532396]",$r$,dfa (short)
Shuffled,19.0,[ 5  9 13 17 21 25 29 33],"[0.42255530734022617, 0.6770530162052248, 0.8283793959383465, 0.9290277617963991, 1.0329554150559348, 1.1457382570223549, 1.252141524355647, 1.346746536516685]","[0.44981445 0.63586642 0.78961482 0.92475475 1.04729987 1.16054964
 1.26655387 1.36669278]",$r$,dfa (short)
Trace,20.0,[ 5  9 13 17 21 25 29 33],"[0.4797134620302881, 0.6536491754122682, 0.7401612329860018, 0.7706350802156035, 0.7834313583477814, 0.8184759821938187, 0.8347100827420899, 0.8364640610615056]","[0.52492228 0.61819213 0.68479335 0.73786465 0.78254877 0.82144855
 0.85608231 0.88742067]",$r$,dfa (short)
Shuffled,20.0,[ 5  9 13 17 21 25 29 33],"[0.4464659917568254, 0.6605034442712353, 0.8260640706129745, 0.9148947193646926, 0.9441779105513007, 0.9374515480216762, 0.9331792874393167, 0.9398547808955215]","[0.50836556 0.63814965 0.73569737 0.81614394 0.88565802 0.94745133
 1.00343913 1.05486824]",$r$,dfa (short)
Trace,21.0,[ 5  9 13 17 21 25 29 33],"[0.3887731485377819, 0.5445165112844506, 0.6322414907381845, 0.6652101623420438, 0.7032484421079331, 0.7444585986251435, 0.7646524432161499, 0.7820045669167025]","[0.42017112 0.51764968 0.58982374 0.64874833 0.6992789  0.74392255
 0.78416468 0.82096719]",$r$,dfa (short)
Shuffled,21.0,[ 5  9 13 17 21 25 29 33],"[0.4501580460322361, 0.7128907712353274, 0.9006029019951621, 1.081443136680381, 1.204743875773253, 1.2899998970755255, 1.4003315738734388, 1.517639362602808]","[0.47639657 0.69017354 0.87031193 1.03074234 1.17767606 1.31455793
 1.44354619 1.56610421]",$r$,dfa (short)
Trace,22.0,[ 5  9 13 17 21 25 29 33],"[0.44507670519235565, 0.6373292818973891, 0.6920553045378438, 0.7204392318816568, 0.732654998144407, 0.7331159763177836, 0.7407532690285369, 0.7424694798552487]","[0.50437466 0.58189391 0.63633856 0.67924457 0.7150686  0.74604572
 0.77347043 0.79816546]",$r$,dfa (short)
Shuffled,22.0,[ 5  9 13 17 21 25 29 33],"[0.3972076137874415, 0.6766449350742164, 0.8229897220412025, 0.958431617332076, 1.0899876644381747, 1.1961085883584117, 1.2827474402563959, 1.365307511644746]","[0.43130338 0.62632938 0.79097717 0.93779807 1.07239662 1.19788443
 1.31621252 1.42870469]",$r$,dfa (short)
Trace,23.0,[ 5  9 13 17 21 25 29 33],"[0.38032342172339445, 0.579445751325853, 0.6695639146001533, 0.7410298462692413, 0.77545916505458, 0.791153031253565, 0.8173454372474167, 0.8352891784954405]","[0.42626659 0.53775798 0.62189108 0.6914604  0.75169702 0.80533049
 0.85399133 0.89874252]",$r$,dfa (short)
Shuffled,23.0,[ 5  9 13 17 21 25 29 33],"[0.40906564259322686, 0.590958579166484, 0.7393501133364989, 0.9051659251016417, 1.014137439733679, 1.115261730577991, 1.2388185263861673, 1.317234481395438]","[0.4103689  0.59278499 0.74614157 0.88250709 1.00725278 1.12335379
 1.23267221 1.33646958]",$r$,dfa (short)
Trace,24.0,[ 5  9 13 17 21 25 29 33],"[0.49866304161647296, 0.6424014951277505, 0.7128679633488212, 0.7642161739021784, 0.7923210768255994, 0.8109732239359321, 0.8313216282126074, 0.8301062557697382]","[0.53049441 0.62016383 0.68381523 0.73433491 0.7767432  0.8135727
 0.84629697 0.87585604]",$r$,dfa (short)
Shuffled,24.0,[ 5  9 13 17 21 25 29 33],"[0.4615214233045642, 0.6249444255906659, 0.7158403058429189, 0.8220828488518386, 0.8806277619272209, 0.9290752832062682, 0.9638345551494456, 0.9850842937564486]","[0.48101979 0.61026149 0.70823041 0.78948624 0.86000295 0.9229055
 0.98006426 1.03270053]",$r$,dfa (short)
Trace,25.0,[ 5  9 13 17 21 25 29 33],"[0.4669993553393791, 0.6472042352196262, 0.7447844007604267, 0.8297514609021256, 0.912061893445648, 0.9953516444711327, 1.0791640151559687, 1.1512426968031173]","[0.47565756 0.62476641 0.74097638 0.83917468 0.92560458 1.00358239
 1.0751169  1.1415328 ]",$r$,dfa (short)
Shuffled,25.0,[ 5  9 13 17 21 25 29 33],"[0.37826578189573323, 0.6730118373849826, 0.8683168295157008, 1.0306405656216662, 1.2131999142994703, 1.3489780694201192, 1.460648635782187, 1.5777792834193418]","[0.40848289 0.63157539 0.82951183 1.01203677 1.18367391 1.34700475
 1.50368315 1.65485138]",$r$,dfa (short)
Trace,26.0,[ 5  9 13 17 21 25 29 33],"[0.2978139572606182, 0.4316858118104225, 0.5592938412739773, 0.6153983912383428, 0.6789635082650789, 0.7279685410916041, 0.7257399486378227, 0.706162643192246]","[0.32381    0.42910837 0.51175776 0.58193053 0.64391654 0.70000341
 0.75158107 0.79956842]",$r$,dfa (short)
Shuffled,26.0,[ 5  9 13 17 21 25 29 33],"[0.3429007334419524, 0.606447209168397, 0.7456514070872764, 0.9050616731517116, 1.0730777412556682, 1.193480846078799, 1.301693286684114, 1.4291059971725486]","[0.3648897  0.56273507 0.73791714 0.89923911 1.05078122 1.19486932
 1.33299218 1.46617729]",$r$,dfa (short)
Trace,27.0,[ 5  9 13 17 21 25 29 33],"[0.44526095444700786, 0.6683377893277621, 0.7495857082420904, 0.81489515548672, 0.8649224661557896, 0.9056838738702162, 0.9523197417154168, 0.9819224602219495]","[0.48816802 0.61517934 0.71094039 0.79007847 0.85856987 0.91953149
 0.97482454 1.02566201]",$r$,dfa (short)
Shuffled,27.0,[ 5  9 13 17 21 25 29 33],"[0.4457521023088756, 0.6388849197638486, 0.8059248333827203, 0.9144471035298077, 0.9958874657806074, 1.07209339277674, 1.0898951372129346, 1.1049238665806649]","[0.47482479 0.63389783 0.75949408 0.86655425 0.96140834 1.04744296
 1.12672101 1.20060916]",$r$,dfa (short)
Trace,28.0,[ 5  9 13 17 21 25 29 33],"[0.5147468032939726, 0.6660305235993309, 0.6773612455544252, 0.6867257164242481, 0.6886008876010338, 0.6980853464664721, 0.7014522376399478, 0.704286764622832]","[0.56363886 0.61157454 0.6436152  0.66804368 0.68793685 0.70479619
 0.71947303 0.73249906]",$r$,dfa (short)
Shuffled,28.0,[ 5  9 13 17 21 25 29 33],"[0.48324104501991166, 0.6635879197595762, 0.7939228874706167, 0.9549236647568949, 1.066202605195105, 1.1451713796049614, 1.226715088084333, 1.2848029210278489]","[0.48675434 0.66418753 0.80674449 0.92969577 1.03960039 1.14000146
 1.23307351 1.32026616]",$r$,dfa (short)
Trace,29.0,[ 5  9 13 17 21 25 29 33],"[0.4445598724306467, 0.560190091736396, 0.623054794439761, 0.7100914237812337, 0.7432722226110138, 0.7675283463521843, 0.8182607919110111, 0.8454212726712875]","[0.45308596 0.55272378 0.62591514 0.6853542  0.736122   0.78083069
 0.82102267 0.8576939 ]",$r$,dfa (short)
Shuffled,29.0,[ 5  9 13 17 21 25 29 33],"[0.37048019330975973, 0.6787881340248023, 0.8758211658131796, 1.0324871058453873, 1.0750318253559668, 1.095359319678525, 1.120207151461426, 1.1447048072022048]","[0.44376321 0.62194447 0.76818554 0.89613627 1.0117584  1.11831057
 1.21781124 1.3116162 ]",$r$,dfa (short)
Trace,30.0,[ 5  9 13 17 21 25 29 33],"[0.4868652299223171, 0.6822154679312642, 0.7727434041869349, 0.8360105739745624, 0.8958867269982519, 0.925044475746393, 0.9381339927188775, 0.962725972127656]","[0.52676504 0.64666102 0.73517931 0.80730913 0.86907409 0.92357959
 0.97266322 1.01751374]",$r$,dfa (short)
Shuffled,30.0,[ 5  9 13 17 21 25 29 33],"[0.5111936581501834, 0.742396202311575, 0.951264598983144, 1.1167514551668791, 1.1764779010170432, 1.2187842049795388, 1.2669214127070445, 1.2972004379942523]","[0.55200756 0.73940207 0.88775427 1.01443867 1.12683184 1.22888613
 1.32301183 1.41080725]",$r$,dfa (short)
Trace,31.0,[ 5  9 13 17 21 25 29 33],"[0.4153765956759388, 0.6472410955864208, 0.699267028890937, 0.7200171938450939, 0.7336895630141554, 0.763043163766667, 0.7757752462474568, 0.7689616800304321]","[0.48113761 0.57104918 0.635655   0.68735218 0.73101721 0.76912671
 0.80312925 0.83395294]",$r$,dfa (short)
Shuffled,31.0,[ 5  9 13 17 21 25 29 33],"[0.49221024196688706, 0.6766808523108552, 0.7733803750646353, 0.8900485446873472, 0.9742690466688129, 1.0607433004229114, 1.1360403891174458, 1.2081096163902525]","[0.49946315 0.65780842 0.78148343 0.88614134 0.97835779 1.06162979
 1.13807758 1.2091004 ]",$r$,dfa (short)
Trace,32.0,[ 5  9 13 17 21 25 29 33],"[0.40426736959697945, 0.5930798462880326, 0.7133916213393977, 0.7784088481694078, 0.8268968470036914, 0.899061857556745, 0.9400804541961338, 0.9640503115165934]","[0.43518651 0.56657367 0.66825052 0.75376106 0.82875376 0.8962173
 0.95795646 1.01515844]",$r$,dfa (short)
Shuffled,32.0,[ 5  9 13 17 21 25 29 33],"[0.39614852884267115, 0.6672289249149116, 0.8474180873727382, 0.9988289151648911, 1.1396467626867233, 1.2471320128077243, 1.3452562616283783, 1.4582805269268158]","[0.42561493 0.63204891 0.80944801 0.96954448 1.11765042 1.25674416
 1.38870755 1.51482559]",$r$,dfa (short)
Trace,33.0,[ 5  9 13 17 21 25 29 33],"[0.4026784418108914, 0.630883317368871, 0.7528911628299205, 0.7776748804147668, 0.8013396353255988, 0.8439114802018288, 0.8598250510429019, 0.8731116400370251]","[0.46247653 0.57794595 0.664423   0.73556786 0.79693229 0.85140105
 0.90069177 0.94592121]",$r$,dfa (short)
Shuffled,33.0,[ 5  9 13 17 21 25 29 33],"[0.44775590177849006, 0.7205489456740082, 0.9740161026078445, 1.1298442620255316, 1.2707820203337095, 1.3878876067951516, 1.4456250282539627, 1.4819900875463974]","[0.48615752 0.70869693 0.89714469 1.06553359 1.22014464 1.36447089
 1.5007054  1.63033783]",$r$,dfa (short)
Trace,34.0,[ 5  9 13 17 21 25 29 33],"[0.49643714143165046, 0.7071013629765955, 0.8054947269196666, 0.8722150616773955, 0.9446625390197263, 0.9965807843714901, 1.0038143343152064, 1.0123342445967696]","[0.53755783 0.66909462 0.76728979 0.84790183 0.91731913 0.97885532
 1.03448066 1.08547469]",$r$,dfa (short)
Shuffled,34.0,[ 5  9 13 17 21 25 29 33],"[0.3989829705146101, 0.6278939257229417, 0.8287425721656111, 1.006128442806906, 1.1829084645875754, 1.3270203749573846, 1.4276240954207495, 1.486722124174194]","[0.41126736 0.62548679 0.8130884  0.98456603 1.14474179 1.2963477
 1.44112419 1.58026774]",$r$,dfa (short)
Trace,35.0,[ 5  9 13 17 21 25 29 33],"[0.46301872860930987, 0.6736188461666697, 0.7628775306751986, 0.8655990183443838, 0.9336036892547745, 0.967609512996273, 1.015668759213889, 1.0477544595732953]","[0.49680678 0.6361244  0.74251299 0.83119004 0.90843582 0.97754893
 1.04050994 1.09861551]",$r$,dfa (short)
