dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,32.0,[ 5  9 13 17],"[0.4289370843934416, 0.5724132913370256, 0.5896662054034825, 0.624262641868542]",[0.44518156 0.53139639 0.59363068 0.64358332],$r$,dfa (short)
Shuffled,32.0,[ 5  9 13 17],"[0.48930341585734943, 0.6816839852941405, 0.8284359618860855, 0.9536095835918753]",[0.49121772 0.676952   0.82736118 0.95777578],$r$,dfa (short)
Trace,33.0,[ 5  9 13 17],"[0.42148826715492643, 0.6084957170550712, 0.6720563421832757, 0.7044298861174075]",[0.43983475 0.56476051 0.66037361 0.74018946],$r$,dfa (short)
Shuffled,33.0,[ 5  9 13 17],"[0.40100584486175206, 0.7199702733787345, 0.8302379763230642, 0.8278059046473174]",[0.43654807 0.62616149 0.78467663 0.92509693],$r$,dfa (short)
Trace,36.0,[ 5  9 13 17 21 25 29],"[0.42618059368174765, 0.6140595921683809, 0.7039166553059211, 0.764933874184853, 0.8222272600916528, 0.8427507200071948, 0.8564321758635748]","[0.45941794 0.57827865 0.66781135 0.74175617 0.80572286 0.86263561
 0.91423989]",$r$,dfa (short)
Shuffled,36.0,[ 5  9 13 17 21 25 29],"[0.4317852527341812, 0.7168331707665562, 0.8375477594958655, 0.8886628174939937, 0.9289228683860957, 0.9695747820591191, 1.0260696089787047]","[0.48980198 0.64024467 0.75704246 0.85548186 0.94195413 1.01984699
 1.09120905]",$r$,dfa (short)
Trace,37.0,[ 5  9 13],"[0.532469156184931, 0.6675863256829776, 0.7683199591950566]",[0.53254679 0.66733348 0.76849903],$r$,dfa (short)
Shuffled,37.0,[ 5  9 13],"[0.41467345303425096, 0.5147456355449096, 0.6311401830677238]",[0.41028458 0.52917604 0.62049655],$r$,dfa (short)
Trace,38.0,[ 5  9 13 17 21 25 29 33],"[0.462470278059489, 0.7303660827027022, 0.8153266203192931, 0.8431989061537655, 0.8656823992834859, 0.8575376477114235, 0.8563079775031298, 0.8483800980050612]","[0.54852542 0.64982932 0.72251312 0.78061647 0.8296555  0.87242941
 0.91057437 0.94513815]",$r$,dfa (short)
Shuffled,38.0,[ 5  9 13 17 21 25 29 33],"[0.4898116067099922, 0.7013035026860882, 0.8294431487716546, 0.9164757827821625, 0.9539540991898594, 0.9818410751770935, 1.007681301996201, 1.0223264095687854]","[0.53723698 0.67163021 0.77231061 0.85515771 0.92662679 0.99007271
 1.04749322 1.10018737]",$r$,dfa (short)
